50m*,100m*,150m,180m,200m,50-100m,100-150m,150-200m,180-200m,50-150m,100-200m
6.49,11.76,17.34,20.89,23.34,5.27,5.58,6,2.45,10.85,11.58
6.6,11.94,17.46,20.95,23.35,5.34,5.52,5.89,2.4,10.86,11.41
6.51,11.74,17.32,20.88,23.35,5.23,5.58,6.03,2.47,10.81,11.61
6.42,11.67,17.26,20.85,23.35,5.25,5.59,6.09,2.5,10.84,11.68
6.37,11.61,17.19,20.82,23.35,5.24,5.58,6.16,2.53,10.82,11.74
,11.76,,,23.35,,,,,,11.59
6.44,11.76,17.3,20.87,23.35,5.32,5.54,6.05,2.48,10.86,11.59
,12.03,17.46,20.94,23.36,,5.43,5.9,2.42,,11.33
6.57,11.87,17.38,20.91,23.36,5.3,5.51,5.98,2.45,10.81,11.49
6.46,11.86,17.44,20.95,23.36,5.4,5.58,5.92,2.41,10.98,11.5
6.69,11.94,17.37,20.9,23.36,5.25,5.43,5.99,2.46,10.68,11.42
6.48,11.81,17.39,20.93,23.36,5.33,5.58,5.97,2.43,10.91,11.55
,11.88,,,23.36,,,,,,11.48
6.45,11.71,17.31,20.89,23.36,5.26,5.6,6.05,2.47,10.86,11.65
6.46,11.75,17.32,20.89,23.37,5.29,5.57,6.05,2.48,10.86,11.62
6.59,12.01,17.47,20.96,23.37,5.42,5.46,5.9,2.41,10.88,11.36
6.51,11.89,17.37,20.91,23.37,5.38,5.48,6,2.46,10.86,11.48
6.64,11.99,17.41,20.92,23.37,5.35,5.42,5.96,2.45,10.77,11.38
6.54,11.88,17.45,20.96,23.37,5.34,5.57,5.92,2.41,10.91,11.49
6.37,11.64,17.24,20.85,23.37,5.27,5.6,6.13,2.52,10.87,11.73
6.45,11.76,17.29,20.87,23.37,5.31,5.53,6.08,2.5,10.84,11.61
6.42,11.77,17.48,20.99,23.37,5.35,5.71,5.89,2.38,11.06,11.6
6.4,11.66,17.23,20.85,23.37,5.26,5.57,6.14,2.52,10.83,11.71
6.42,11.77,17.3,20.88,23.37,5.35,5.53,6.07,2.49,10.88,11.6
,12.08,17.5,20.97,23.38,,5.42,5.88,2.41,,11.3
,11.29,,,23.38,,,,,,12.09
6.59,11.91,17.38,20.92,23.38,5.32,5.47,6,2.46,10.79,11.47
6.5,11.76,17.33,20.9,23.38,5.26,5.57,6.05,2.48,10.83,11.62
,11.86,,,23.38,,,,,,11.52
,12.06,,,23.38,,,,,,11.32
6.6,11.87,17.36,20.91,23.38,5.27,5.49,6.02,2.47,10.76,11.51
,11.88,17.29,20.87,23.39,,5.41,6.1,2.52,,11.51
6.57,11.87,17.39,20.93,23.39,5.3,5.52,6,2.46,10.82,11.52
6.6,11.8,17.4,20.95,23.39,5.2,5.6,5.99,2.44,10.8,11.59
6.36,11.58,17.2,20.85,23.39,5.22,5.62,6.19,2.54,10.84,11.81
,11.53,17.15,20.82,23.39,,5.62,6.24,2.57,,11.86
,11.98,17.35,20.9,23.4,,5.37,6.05,2.5,,11.42
6.64,11.76,17.33,20.91,23.4,5.12,5.57,6.07,2.49,10.69,11.64
6.47,11.72,17.3,20.9,23.4,5.25,5.58,6.1,2.5,10.83,11.68
6.36,11.63,17.24,20.87,23.4,5.27,5.61,6.16,2.53,10.88,11.77
6.43,11.73,17.3,20.9,23.4,5.3,5.57,6.1,2.5,10.87,11.67
6.3,11.49,17.1,20.8,23.4,5.19,5.61,6.3,2.6,10.8,11.91
,11.63,17.16,20.82,23.4,,5.53,6.24,2.58,,11.77
6.5,11.7,17.4,20.96,23.4,5.2,5.7,6,2.44,10.9,11.7
6.4,11.8,17.4,20.95,23.4,5.4,5.6,6,2.45,11,11.6
6.5,11.8,17.3,20.89,23.41,5.3,5.5,6.11,2.52,10.8,11.61
,11.8,,,23.41,,,,,,11.61
6.32,11.5,17.12,20.81,23.41,5.18,5.62,6.29,2.6,10.8,11.91
,11.7,,,23.41,,,,,,11.71
6.41,11.7,17.2,20.85,23.42,5.29,5.5,6.22,2.57,10.79,11.72
6.44,11.79,17.29,20.89,23.42,5.35,5.5,6.13,2.53,10.85,11.63
,11.77,17.33,20.92,23.42,,5.56,6.09,2.5,,11.65
6.55,11.84,17.06,20.74,23.42,5.29,5.22,6.36,2.68,10.51,11.58
6.55,11.75,17.31,20.91,23.42,5.2,5.56,6.11,2.51,10.76,11.67
6.43,11.76,17.33,20.92,23.42,5.33,5.57,6.09,2.5,10.9,11.66
6.54,11.81,17.38,20.95,23.43,5.27,5.57,6.05,2.48,10.84,11.62
6.57,11.75,17.34,20.93,23.43,5.18,5.59,6.09,2.5,10.77,11.68
6.48,11.74,17.21,20.85,23.43,5.26,5.47,6.22,2.58,10.73,11.69
6.42,11.68,17.26,20.89,23.43,5.26,5.58,6.17,2.54,10.84,11.75
6.44,11.74,17.42,20.99,23.43,5.3,5.68,6.01,2.44,10.98,11.69
6.64,12.02,17.54,21.03,23.43,5.38,5.52,5.89,2.4,10.9,11.41
6.61,12.01,17.58,21.06,23.44,5.4,5.57,5.86,2.38,10.97,11.43
6.41,11.8,17.37,20.95,23.44,5.39,5.57,6.07,2.49,10.96,11.64
6.51,11.76,17.32,20.92,23.44,5.25,5.56,6.12,2.52,10.81,11.68
6.52,11.66,17.13,20.82,23.44,5.14,5.47,6.31,2.62,10.61,11.78
6.59,11.99,17.5,21.01,23.44,5.4,5.51,5.94,2.43,10.91,11.45
6.3,11.56,17.24,20.9,23.44,5.26,5.68,6.2,2.54,10.94,11.88
,11.71,17.28,20.91,23.44,,5.57,6.16,2.53,,11.73
6.52,11.85,17.45,21,23.44,5.33,5.6,5.99,2.44,10.93,11.59
6.51,11.82,17.4,20.97,23.44,5.31,5.58,6.04,2.47,10.89,11.62
6.43,11.81,17.35,20.94,23.44,5.38,5.54,6.09,2.5,10.92,11.63
6.45,11.73,17.34,20.94,23.44,5.28,5.61,6.1,2.5,10.89,11.71
6.48,11.78,17.4,20.97,23.44,5.3,5.62,6.04,2.47,10.92,11.66
6.52,11.96,17.47,21,23.45,5.44,5.51,5.98,2.45,10.95,11.49
6.33,11.72,17.26,20.9,23.45,5.39,5.54,6.19,2.55,10.93,11.73
5.95,11.69,17.22,20.87,23.45,5.74,5.53,6.23,2.58,11.27,11.76
6.1,11.97,17.58,21.07,23.45,5.87,5.61,5.87,2.38,11.48,11.48
6.08,12.01,17.72,21.16,23.45,5.93,5.71,5.73,2.29,11.64,11.44
,11.85,,,23.45,,,,,,11.6
6.56,11.94,17.5,21.02,23.45,5.38,5.56,5.95,2.43,10.94,11.51
,11.75,,,23.45,,,,,,11.7
6.58,11.85,17.41,20.98,23.45,5.27,5.56,6.04,2.47,10.83,11.6
,11.96,17.43,20.98,23.46,,5.47,6.03,2.48,,11.5
6.49,11.75,17.33,20.94,23.46,5.26,5.58,6.13,2.52,10.84,11.71
6.49,11.7,17.31,20.94,23.46,5.21,5.61,6.15,2.52,10.82,11.76
,11.78,17.27,20.9,23.46,,5.49,6.19,2.56,,11.68
6.51,11.87,17.43,20.99,23.46,5.36,5.56,6.03,2.47,10.92,11.59
,11.84,,,23.46,,,,,,11.62
,11.74,,,23.46,,,,,,11.72
,12,17.43,20.98,23.47,,5.43,6.04,2.49,,11.47
6.58,11.86,17.44,21,23.47,5.28,5.58,6.03,2.47,10.86,11.61
6.37,11.66,17.3,20.94,23.47,5.29,5.64,6.17,2.53,10.93,11.81
6.41,11.6,17.19,20.88,23.47,5.19,5.59,6.28,2.59,10.78,11.87
,11.95,17.51,21.04,23.47,,5.56,5.96,2.43,,11.52
,11.87,,,23.47,,,,,,11.6
6.53,11.87,17.49,21.04,23.48,5.34,5.62,5.99,2.44,10.96,11.61
,11.84,17.42,21,23.48,,5.58,6.06,2.48,,11.64
6.7,12,17.6,21.09,23.48,5.3,5.6,5.88,2.39,10.9,11.48
,12.02,,,23.48,,,,,,11.46
,11.91,,,23.48,,,,,,11.57
,11.89,17.46,21.02,23.49,,5.57,6.03,2.47,,11.6
6.67,11.91,17.5,21.05,23.49,5.24,5.59,5.99,2.44,10.83,11.58
6.6,11.91,17.4,20.98,23.49,5.31,5.49,6.09,2.51,10.8,11.58
6.5,11.9,17.5,21.05,23.49,5.4,5.6,5.99,2.44,11,11.59
6.5,11.8,17.3,20.93,23.49,5.3,5.5,6.19,2.56,10.8,11.69
6.5,11.81,17.42,21.01,23.49,5.31,5.61,6.07,2.48,10.92,11.68
6.43,11.76,17.36,20.97,23.49,5.33,5.6,6.13,2.52,10.93,11.73
6.49,11.67,17.29,20.94,23.49,5.18,5.62,6.2,2.55,10.8,11.82
6.49,11.75,17.29,20.93,23.49,5.26,5.54,6.2,2.56,10.8,11.74
6.43,11.61,17.18,20.88,23.49,5.18,5.57,6.31,2.61,10.75,11.88
6.67,11.92,17.5,21.05,23.5,5.25,5.58,6,2.45,10.83,11.58
6.36,11.64,17.27,20.94,23.5,5.28,5.63,6.23,2.56,10.91,11.86
6.64,12.01,17.6,21.1,23.5,5.37,5.59,5.9,2.4,10.96,11.49
6.41,11.59,17.21,20.9,23.5,5.18,5.62,6.29,2.6,10.8,11.91
6.7,12.02,17.55,21.07,23.5,5.32,5.53,5.95,2.43,10.85,11.48
6.16,12.08,17.63,21.11,23.5,5.92,5.55,5.87,2.39,11.47,11.42
,11.58,,,23.5,,,,,,11.92
6.62,12.02,17.59,21.1,23.5,5.4,5.57,5.91,2.4,10.97,11.48
6.5,11.75,17.37,20.99,23.51,5.25,5.62,6.14,2.52,10.87,11.76
6.48,11.72,17.28,20.94,23.51,5.24,5.56,6.23,2.57,10.8,11.79
,11.78,,,23.51,,,,,,11.73
,11.98,,,23.51,,,,,,11.53
6.65,11.96,17.5,21.05,23.52,5.31,5.54,6.02,2.47,10.85,11.56
6.46,11.8,17.51,21.08,23.52,5.34,5.71,6.01,2.44,11.05,11.72
,11.82,,,23.52,,,,,,11.7
6.47,11.84,17.44,21.03,23.52,5.37,5.6,6.08,2.49,10.97,11.68
,11.84,,,23.53,,,,,,11.69
6.5,11.8,17.3,20.95,23.53,5.3,5.5,6.23,2.58,10.8,11.73
,11.91,,,23.53,,,,,,11.62
,12,,,23.53,,,,,,11.53
6.43,11.72,17.36,21,23.53,5.29,5.64,6.17,2.53,10.93,11.81
6.64,11.99,17.58,21.11,23.54,5.35,5.59,5.96,2.43,10.94,11.55
6.56,11.92,17.43,21.02,23.54,5.36,5.51,6.11,2.52,10.87,11.62
6.34,11.73,17.36,21,23.54,5.39,5.63,6.18,2.54,11.02,11.81
6.58,11.84,17.47,21.06,23.54,5.26,5.63,6.07,2.48,10.89,11.7
6.32,11.56,17.18,20.91,23.54,5.24,5.62,6.36,2.63,10.86,11.98
6.52,11.79,17.53,21.11,23.55,5.27,5.74,6.02,2.44,11.01,11.76
6.27,11.76,17.22,20.91,23.55,5.49,5.46,6.33,2.64,10.95,11.79
6.67,12.07,17.59,21.11,23.55,5.4,5.52,5.96,2.44,10.92,11.48
6.63,11.92,17.47,21.05,23.55,5.29,5.55,6.08,2.5,10.84,11.63
,11.95,,,23.55,,,,,,11.6
,11.91,,,23.55,,,,,,11.64
6.37,11.66,17.24,20.94,23.56,5.29,5.58,6.32,2.62,10.87,11.9
6.57,11.97,17.45,21.04,23.56,5.4,5.48,6.11,2.52,10.88,11.59
,11.64,,,23.56,,,,,,11.92
6.42,11.74,17.4,21.04,23.56,5.32,5.66,6.16,2.52,10.98,11.82
,12.11,,,23.56,,,,,,11.45
6.5,11.82,17.41,21.03,23.56,5.32,5.59,6.15,2.53,10.91,11.74
6.54,12.06,17.52,21.08,23.57,5.52,5.46,6.05,2.49,10.98,11.51
,12.1,,,23.57,,,,,,11.47
,11.8,17.43,21.05,23.57,,5.63,6.14,2.52,,11.77
6.52,11.83,17.41,21.04,23.57,5.31,5.58,6.16,2.53,10.89,11.74
6.43,11.76,17.41,21.04,23.57,5.33,5.65,6.16,2.53,10.98,11.81
6.68,12.04,17.55,21.11,23.58,5.36,5.51,6.03,2.47,10.87,11.54
6.37,11.68,17.25,20.96,23.58,5.31,5.57,6.33,2.62,10.88,11.9
,11.74,,,23.58,,,,,,11.84
,11.89,,,23.58,,,,,,11.69
6.58,11.99,17.56,21.12,23.58,5.41,5.57,6.02,2.46,10.98,11.59
6.44,11.78,17.44,21.07,23.58,5.34,5.66,6.14,2.51,11,11.8
6.57,11.9,17.5,21.09,23.58,5.33,5.6,6.08,2.49,10.93,11.68
6.44,11.73,17.26,20.96,23.58,5.29,5.53,6.32,2.62,10.82,11.85
,12.09,,,23.59,,,,,,11.5
6.47,11.8,17.37,21.02,23.59,5.33,5.57,6.22,2.57,10.9,11.79
6.55,11.91,17.51,21.1,23.59,5.36,5.6,6.08,2.49,10.96,11.68
6.5,11.77,17.38,21.03,23.59,5.27,5.61,6.21,2.56,10.88,11.82
6.59,11.88,17.49,21.1,23.6,5.29,5.61,6.11,2.5,10.9,11.72
,11.85,17.51,21.11,23.6,,5.66,6.09,2.49,,11.75
,12.11,17.63,21.16,23.6,,5.52,5.97,2.44,,11.49
6.02,11.83,17.46,21.08,23.6,5.81,5.63,6.14,2.52,11.44,11.77
6.39,11.68,17.38,21.05,23.6,5.29,5.7,6.22,2.55,10.99,11.92
6.42,11.74,17.4,21.06,23.6,5.32,5.66,6.2,2.54,10.98,11.86
,11.86,,,23.6,,,,,,11.74
,12.06,17.58,21.14,23.61,,5.52,6.03,2.47,,11.55
,12.05,17.62,21.16,23.61,,5.57,5.99,2.45,,11.56
6.5,11.74,17.32,21.01,23.62,5.24,5.58,6.3,2.61,10.82,11.88
6.39,11.75,17.32,21.01,23.62,5.36,5.57,6.3,2.61,10.93,11.87
6.56,11.88,17.54,21.14,23.62,5.32,5.66,6.08,2.48,10.98,11.74
,12.1,17.68,21.2,23.62,,5.58,5.94,2.42,,11.52
,11.99,,,23.62,,,,,,11.63
6.48,11.77,17.35,21.03,23.62,5.29,5.58,6.27,2.59,10.87,11.85
,11.93,,,23.62,,,,,,11.69
6.41,11.79,17.49,21.12,23.63,5.38,5.7,6.14,2.51,11.08,11.84
6.52,11.85,17.45,21.09,23.63,5.33,5.6,6.18,2.54,10.93,11.78
,11.81,17.29,20.99,23.63,,5.48,6.34,2.64,,11.82
6.9,12.3,17.9,21.33,23.64,5.4,5.6,5.74,2.31,11,11.34
,11.95,17.54,21.14,23.65,,5.59,6.11,2.51,,11.7
6.65,12,17.62,21.19,23.65,5.35,5.62,6.03,2.46,10.97,11.65
6.43,11.77,17.45,21.11,23.65,5.34,5.68,6.2,2.54,11.02,11.88
6.59,12.01,17.58,21.16,23.65,5.42,5.57,6.07,2.49,10.99,11.64
6.63,12,17.59,21.17,23.65,5.37,5.59,6.06,2.48,10.96,11.65
6.47,11.66,17.29,21.02,23.65,5.19,5.63,6.36,2.63,10.82,11.99
6.62,11.96,17.55,21.15,23.66,5.34,5.59,6.11,2.51,10.93,11.7
6.67,12.08,17.57,21.15,23.66,5.41,5.49,6.09,2.51,10.9,11.58
6.67,12.15,17.65,21.2,23.67,5.48,5.5,6.02,2.47,10.98,11.52
,11.9,17.52,21.15,23.67,,5.62,6.15,2.52,,11.77
6.6,11.88,17.47,21.12,23.67,5.28,5.59,6.2,2.55,10.87,11.79
6.45,11.76,17.39,21.08,23.67,5.31,5.63,6.28,2.59,10.94,11.91
6.6,12,17.6,21.19,23.68,5.4,5.6,6.08,2.49,11,11.68
6.58,11.88,17.52,21.15,23.68,5.3,5.64,6.16,2.53,10.94,11.8
6.65,11.86,17.5,21.15,23.69,5.21,5.64,6.19,2.54,10.85,11.83
6.59,12.09,17.66,21.22,23.69,5.5,5.57,6.03,2.47,11.07,11.6
,11.69,,,23.69,,,,,,12
6.69,12.05,17.63,21.21,23.69,5.36,5.58,6.06,2.48,10.94,11.64
,12.02,,,23.69,,,,,,11.67
,12.09,17.64,21.21,23.7,,5.55,6.06,2.49,,11.61
6.48,11.83,17.52,21.17,23.7,5.35,5.69,6.18,2.53,11.04,11.87
6.58,11.97,17.61,21.21,23.7,5.39,5.64,6.09,2.49,11.03,11.73
,12,,,23.71,,,,,,11.71
,11.88,17.53,21.17,23.71,,5.65,6.18,2.54,,11.83
,12.1,,,23.71,,,,,,11.61
6.54,11.9,17.56,21.19,23.71,5.36,5.66,6.15,2.52,11.02,11.81
6.8,12.2,17.8,21.31,23.71,5.4,5.6,5.91,2.4,11,11.51
,11.73,,,23.71,,,,,,11.98
,12,,,23.71,,,,,,11.71
6.21,12.17,17.76,21.29,23.71,5.96,5.59,5.95,2.42,11.55,11.54
6.22,11.52,17.21,21.01,23.71,5.3,5.69,6.5,2.7,10.99,12.19
,11.8,,,23.72,,,,,,11.92
6.53,11.91,17.56,21.19,23.72,5.38,5.65,6.16,2.53,11.03,11.81
,12.11,17.71,21.27,23.73,,5.6,6.02,2.46,,11.62
,12.02,17.62,21.22,23.73,,5.6,6.11,2.51,,11.71
,12.18,,,23.73,,,,,,11.55
6.69,12.07,17.73,21.29,23.73,5.38,5.66,6,2.44,11.04,11.66
,12.27,,,23.74,,,,,,11.47
6.45,11.74,17.4,21.12,23.74,5.29,5.66,6.34,2.62,10.95,12
6.65,12.07,17.71,21.28,23.74,5.42,5.64,6.03,2.46,11.06,11.67
6.51,12.03,17.65,21.25,23.74,5.52,5.62,6.09,2.49,11.14,11.71
6.67,12.11,17.55,21.18,23.75,5.44,5.44,6.2,2.57,10.88,11.64
,11.96,17.6,21.23,23.75,,5.64,6.15,2.52,,11.79
6.71,12.25,17.75,21.29,23.76,5.54,5.5,6.01,2.47,11.04,11.51
6.62,12,17.63,21.25,23.76,5.38,5.63,6.13,2.51,11.01,11.76
6.69,12.14,17.73,21.3,23.76,5.45,5.59,6.03,2.46,11.04,11.62
6.52,11.91,17.62,21.26,23.77,5.39,5.71,6.15,2.51,11.1,11.86
6.4,11.7,17.3,21.08,23.77,5.3,5.6,6.47,2.69,10.9,12.07
,12.2,,,23.77,,,,,,11.57
,11.71,,,23.78,,,,,,12.07
6.2,12.08,17.75,21.32,23.78,5.88,5.67,6.03,2.46,11.55,11.7
6.57,11.88,17.54,21.21,23.78,5.31,5.66,6.24,2.57,10.97,11.9
6.55,11.94,17.61,21.25,23.78,5.39,5.67,6.17,2.53,11.06,11.84
6.64,12.08,17.75,21.33,23.79,5.44,5.67,6.04,2.46,11.11,11.71
,11.9,,,23.79,,,,,,11.89
6.6,11.97,17.63,21.27,23.79,5.37,5.66,6.16,2.52,11.03,11.82
6.59,11.98,17.61,21.25,23.79,5.39,5.63,6.18,2.54,11.02,11.81
6.6,11.9,17.7,21.32,23.79,5.3,5.8,6.09,2.47,11.1,11.89
6.39,11.7,17.4,21.16,23.8,5.31,5.7,6.4,2.64,11.01,12.1
,11.99,17.61,21.26,23.8,,5.62,6.19,2.54,,11.81
6.54,11.95,17.62,21.27,23.8,5.41,5.67,6.18,2.53,11.08,11.85
6.55,11.93,17.6,21.26,23.8,5.38,5.67,6.2,2.54,11.05,11.87
6.34,11.9,17.53,21.22,23.81,5.56,5.63,6.28,2.59,11.19,11.91
6.7,12.1,17.7,21.3,23.81,5.4,5.6,6.11,2.51,11,11.71
6.58,11.95,17.65,21.29,23.81,5.37,5.7,6.16,2.52,11.07,11.86
6.21,12.16,17.78,21.35,23.81,5.95,5.62,6.03,2.46,11.57,11.65
,11.91,,,23.81,,,,,,11.9
,12.03,17.68,21.31,23.82,,5.65,6.14,2.51,,11.79
6.65,12.17,17.76,21.34,23.82,5.52,5.59,6.06,2.48,11.11,11.65
6.71,12.21,17.85,21.39,23.82,5.5,5.64,5.97,2.43,11.14,11.61
,11.93,,,23.82,,,,,,11.89
,12.06,,,23.82,,,,,,11.76
6.5,11.98,17.68,21.31,23.82,5.48,5.7,6.14,2.51,11.18,11.84
6.59,11.91,17.58,21.26,23.82,5.32,5.67,6.24,2.56,10.99,11.91
,12.01,17.71,21.33,23.83,,5.7,6.12,2.5,,11.82
6.63,12.02,17.66,21.3,23.83,5.39,5.64,6.17,2.53,11.03,11.81
6.53,11.93,17.67,21.32,23.83,5.4,5.74,6.16,2.51,11.14,11.9
,11.96,17.57,21.25,23.84,,5.61,6.27,2.59,,11.88
6.52,11.87,17.58,21.27,23.84,5.35,5.71,6.26,2.57,11.06,11.97
6.57,11.9,17.64,21.3,23.84,5.33,5.74,6.2,2.54,11.07,11.94
6.73,12.11,17.79,21.38,23.84,5.38,5.68,6.05,2.46,11.06,11.73
6.61,11.96,17.56,21.25,23.85,5.35,5.6,6.29,2.6,10.95,11.89
,12.1,,,23.85,,,,,,11.75
6.57,11.83,17.54,21.25,23.85,5.26,5.71,6.31,2.6,10.97,12.02
6.68,12.11,17.79,21.38,23.85,5.43,5.68,6.06,2.47,11.11,11.74
,12.02,,,23.85,,,,,,11.83
6.64,12.02,17.67,21.31,23.85,5.38,5.65,6.18,2.54,11.03,11.83
6.67,12.01,17.64,21.3,23.86,5.34,5.63,6.22,2.56,10.97,11.85
6.61,12.05,17.78,21.39,23.86,5.44,5.73,6.08,2.47,11.17,11.81
,12.21,,,23.86,,,,,,11.65
6.68,12.07,17.79,21.39,23.86,5.39,5.72,6.07,2.47,11.11,11.79
6.61,11.99,17.63,21.3,23.86,5.38,5.64,6.23,2.56,11.02,11.87
,12.12,17.81,21.4,23.87,,5.69,6.06,2.47,,11.75
6.72,12.04,17.75,21.37,23.87,5.32,5.71,6.12,2.5,11.03,11.83
6.43,11.86,17.61,21.3,23.87,5.43,5.75,6.26,2.57,11.18,12.01
6.08,12.03,17.75,21.37,23.87,5.95,5.72,6.12,2.5,11.67,11.84
6.69,12.05,17.72,21.35,23.87,5.36,5.67,6.15,2.52,11.03,11.82
6.52,11.78,17.7,21.38,23.88,5.26,5.92,6.18,2.5,11.18,12.1
6.69,12.2,17.84,21.42,23.88,5.51,5.64,6.04,2.46,11.15,11.68
6.58,12.05,17.75,21.38,23.88,5.47,5.7,6.13,2.5,11.17,11.83
,12.27,,,23.88,,,,,,11.61
6.46,11.87,17.64,21.33,23.88,5.41,5.77,6.24,2.55,11.18,12.01
6.48,11.92,17.6,21.3,23.89,5.44,5.68,6.29,2.59,11.12,11.97
6.27,12.15,17.76,21.38,23.89,5.88,5.61,6.13,2.51,11.49,11.74
6.22,12.23,17.9,21.46,23.89,6.01,5.67,5.99,2.43,11.68,11.66
,12.44,,,23.89,,,,,,11.45
6.66,12.03,17.7,21.35,23.89,5.37,5.67,6.19,2.54,11.04,11.86
,11.93,17.67,21.35,23.9,,5.74,6.23,2.55,,11.97
,12.21,,,23.9,,,,,,11.69
6.56,12.12,17.84,21.44,23.9,5.56,5.72,6.06,2.46,11.28,11.78
6.6,12,17.8,21.42,23.9,5.4,5.8,6.1,2.48,11.2,11.9
6.56,12.11,17.79,21.4,23.9,5.55,5.68,6.11,2.5,11.23,11.79
6.44,11.83,17.62,21.33,23.91,5.39,5.79,6.29,2.58,11.18,12.08
6.67,12.2,17.86,21.44,23.91,5.53,5.66,6.05,2.47,11.19,11.71
6.65,12.16,17.8,21.41,23.91,5.51,5.64,6.11,2.5,11.15,11.75
,11.9,,,23.91,,,,,,12.01
6.56,11.92,17.67,21.36,23.91,5.36,5.75,6.24,2.55,11.11,11.99
6.4,11.7,17.4,21.21,23.91,5.3,5.7,6.51,2.7,11,12.21
6.49,12.05,17.78,21.41,23.91,5.56,5.73,6.13,2.5,11.29,11.86
6.62,12.11,17.66,21.33,23.92,5.49,5.55,6.26,2.59,11.04,11.81
,12.27,,,23.92,,,,,,11.65
,11.88,17.58,21.31,23.92,,5.7,6.34,2.61,,12.04
6.71,12.15,17.79,21.41,23.92,5.44,5.64,6.13,2.51,11.08,11.77
,12.02,,,23.92,,,,,,11.9
,12.26,,,23.92,,,,,,11.66
6.2,12.19,17.93,21.5,23.93,5.99,5.74,6,2.43,11.73,11.74
6.27,12.27,17.93,21.49,23.93,6,5.66,6,2.44,11.66,11.66
,12.16,,,23.94,,,,,,11.78
,12.22,17.82,21.43,23.95,,5.6,6.13,2.52,,11.73
,12.14,17.86,21.47,23.95,,5.72,6.09,2.48,,11.81
,11.78,17.5,21.28,23.95,,5.72,6.45,2.67,,12.17
6.65,12.22,17.91,21.49,23.95,5.57,5.69,6.04,2.46,11.26,11.73
6.78,12.31,17.92,21.49,23.96,5.53,5.61,6.04,2.47,11.14,11.65
6.57,12,17.71,21.4,23.96,5.43,5.71,6.25,2.56,11.14,11.96
6.67,12.15,17.84,21.46,23.96,5.48,5.69,6.12,2.5,11.17,11.81
6.26,12.33,18.02,21.55,23.96,6.07,5.69,5.94,2.41,11.76,11.63
6.7,12.25,17.99,21.54,23.96,5.55,5.74,5.97,2.42,11.29,11.71
6.49,11.91,17.7,21.4,23.96,5.42,5.79,6.26,2.56,11.21,12.05
6.53,11.96,17.76,21.44,23.97,5.43,5.8,6.21,2.53,11.23,12.01
6.62,12.03,17.82,21.47,23.97,5.41,5.79,6.15,2.5,11.2,11.94
6.72,12.53,17.84,21.42,23.97,5.81,5.31,6.13,2.55,11.12,11.44
,12.09,,,23.97,,,,,,11.88
6.56,12.14,17.86,21.48,23.97,5.58,5.72,6.11,2.49,11.3,11.83
6.31,12.26,17.86,21.47,23.98,5.95,5.6,6.12,2.51,11.55,11.72
6.8,12.28,17.93,21.51,23.98,5.48,5.65,6.05,2.47,11.13,11.7
6.18,12.15,17.87,21.49,23.98,5.97,5.72,6.11,2.49,11.69,11.83
,12.03,17.72,21.41,23.99,,5.69,6.27,2.58,,11.96
6.74,12.15,17.83,21.47,23.99,5.41,5.68,6.16,2.52,11.09,11.84
,12.18,17.82,21.46,23.99,,5.64,6.17,2.53,,11.81
6.32,11.69,17.52,21.33,23.99,5.37,5.83,6.47,2.66,11.2,12.3
6.7,12.19,17.86,21.48,23.99,5.49,5.67,6.13,2.51,11.16,11.8
,12.34,18.05,21.59,24,,5.71,5.95,2.41,,11.66
,12.07,17.8,21.46,24,,5.73,6.2,2.54,,11.93
6.92,12.46,18.07,21.59,24,5.54,5.61,5.93,2.41,11.15,11.54
,12.15,17.87,21.5,24,,5.72,6.13,2.5,,11.85
,12.27,17.97,21.55,24,,5.7,6.03,2.45,,11.73
6.07,12.04,17.8,21.47,24,5.97,5.76,6.2,2.53,11.73,11.96
6.23,12.23,17.88,21.5,24,6,5.65,6.12,2.5,11.65,11.77
6.59,12,17.68,21.4,24.01,5.41,5.68,6.33,2.61,11.09,12.01
6.73,12.22,17.88,21.5,24.01,5.49,5.66,6.13,2.51,11.15,11.79
6.41,11.76,17.55,21.35,24.01,5.35,5.79,6.46,2.66,11.14,12.25
6.71,12.26,17.89,21.5,24.01,5.55,5.63,6.12,2.51,11.18,11.75
,11.93,17.78,21.48,24.02,,5.85,6.24,2.54,,12.09
6.58,12.05,17.78,21.46,24.02,5.47,5.73,6.24,2.56,11.2,11.97
6.21,12.07,17.82,21.49,24.02,5.86,5.75,6.2,2.53,11.61,11.95
,12.27,,,24.02,,,,,,11.75
6.55,11.98,17.76,21.46,24.02,5.43,5.78,6.26,2.56,11.21,12.04
,12.2,,,24.03,,,,,,11.83
6.54,11.98,17.71,21.43,24.03,5.44,5.73,6.32,2.6,11.17,12.05
6.62,12,17.69,21.42,24.03,5.38,5.69,6.34,2.61,11.07,12.03
6.65,12.04,17.8,21.48,24.03,5.39,5.76,6.23,2.55,11.15,11.99
6.59,11.98,17.76,21.46,24.03,5.39,5.78,6.27,2.57,11.17,12.05
6.74,12.23,17.97,21.57,24.03,5.49,5.74,6.06,2.46,11.23,11.8
6.55,12.07,17.79,21.47,24.03,5.52,5.72,6.24,2.56,11.24,11.96
,12.24,,,24.04,,,,,,11.8
6.62,11.94,17.68,21.42,24.04,5.32,5.74,6.36,2.62,11.06,12.1
6.56,12.02,17.78,21.48,24.04,5.46,5.76,6.26,2.56,11.22,12.02
