50m*,100m*,150m,180m,200m,50-100m,100-150m,150-200m,180-200m,50-150m,100-200m
,10.4,,,20.1,,,,,,9.7
,10.3,,,20.1,,,,,,9.8
5.66,10.28,15.1,18.08,20.1,4.62,4.82,5,2.02,9.44,9.82
,10.3,,,20.1,,,,,,9.8
5.83,10.28,15.02,18.03,20.11,4.45,4.74,5.09,2.08,9.19,9.83
5.81,10.4,15.13,18.09,20.11,4.59,4.73,4.98,2.02,9.32,9.71
5.77,10.32,15.08,18.07,20.11,4.55,4.76,5.03,2.04,9.31,9.79
5.84,10.41,15.14,18.09,20.11,4.57,4.73,4.97,2.02,9.3,9.7
6,10.6,15.2,18.11,20.11,4.6,4.6,4.91,2,9.2,9.51
,10.51,,,20.11,,,,,,9.6
5.86,10.14,14.87,17.95,20.11,4.28,4.73,5.24,2.16,9.01,9.97
5.83,10.4,15.07,18.05,20.11,4.57,4.67,5.04,2.06,9.24,9.71
5.82,10.31,15.07,18.06,20.11,4.49,4.76,5.04,2.05,9.25,9.8
,10.25,15.14,18.11,20.11,,4.89,4.97,2,,9.86
,10.34,,,20.12,,,,,,9.78
5.89,10.22,14.98,18.02,20.12,4.33,4.76,5.14,2.1,9.09,9.9
,10.43,15.11,18.08,20.12,,4.68,5.01,2.04,,9.69
5.83,10.41,15.11,18.08,20.12,4.58,4.7,5.01,2.04,9.28,9.71
,10.5,,,20.12,,,,,,9.62
5.9,10.6,15.3,18.18,20.12,4.7,4.7,4.82,1.94,9.4,9.52
,10.62,,,20.12,,,,,,9.5
5.7,10.3,15,18.02,20.12,4.6,4.7,5.12,2.1,9.3,9.82
5.89,10.39,15.12,18.09,20.12,4.5,4.73,5,2.03,9.23,9.73
5.76,10.42,15.22,18.15,20.12,4.66,4.8,4.9,1.97,9.46,9.7
5.75,10.2,14.93,17.99,20.13,4.45,4.73,5.2,2.14,9.18,9.93
5.84,10.35,15.04,18.05,20.13,4.51,4.69,5.09,2.08,9.2,9.78
,10.3,,,20.13,,,,,,9.83
5.9,10.5,15.2,18.13,20.13,4.6,4.7,4.93,2,9.3,9.63
5.8,10.4,15.1,18.08,20.13,4.6,4.7,5.03,2.05,9.3,9.73
5.8,10.3,15.1,18.09,20.13,4.5,4.8,5.03,2.04,9.3,9.83
,10.5,,,20.13,,,,,,9.63
5.78,10.32,15.02,18.04,20.13,4.54,4.7,5.11,2.09,9.24,9.81
,10.3,15.1,18.1,20.14,,4.8,5.04,2.04,,9.84
,10.34,,,20.14,,,,,,9.8
5.87,10.51,15.21,18.14,20.14,4.64,4.7,4.93,2,9.34,9.63
5.9,10.43,15.12,18.09,20.14,4.53,4.69,5.02,2.05,9.22,9.71
,10.3,,,20.14,,,,,,9.84
,10.5,,,20.14,,,,,,9.64
5.82,10.37,15.03,18.04,20.14,4.55,4.66,5.11,2.1,9.21,9.77
5.9,10.45,15.15,18.11,20.14,4.55,4.7,4.99,2.03,9.25,9.69
,10.42,,,20.14,,,,,,9.72
,10.73,,,20.14,,,,,,9.41
,10.59,,,20.14,,,,,,9.55
,10.41,15.06,18.06,20.15,,4.65,5.09,2.09,,9.74
,10.3,,,20.15,,,,,,9.85
5.92,10.6,15.16,18.1,20.15,4.68,4.56,4.99,2.05,9.24,9.55
5.82,10.41,15.07,18.07,20.15,4.59,4.66,5.08,2.08,9.25,9.74
5.9,10.5,15.2,18.14,20.15,4.6,4.7,4.95,2.01,9.3,9.65
5.9,10.5,15.3,18.2,20.15,4.6,4.8,4.85,1.95,9.4,9.65
,10.57,,,20.15,,,,,,9.58
5.84,10.41,15.13,18.11,20.15,4.57,4.72,5.02,2.04,9.29,9.74
5.78,10.37,15.15,18.12,20.15,4.59,4.78,5,2.03,9.37,9.78
5.97,10.52,15.21,18.14,20.15,4.55,4.69,4.94,2.01,9.24,9.63
,10.25,15.19,18.17,20.16,,4.94,4.97,1.99,,9.91
,10.64,,,20.16,,,,,,9.52
5.98,10.63,15.29,18.19,20.16,4.65,4.66,4.87,1.97,9.31,9.53
5.96,10.57,15.25,18.17,20.16,4.61,4.68,4.91,1.99,9.29,9.59
5.94,10.37,15.2,18.16,20.16,4.43,4.83,4.96,2,9.26,9.79
,10.4,,,20.16,,,,,,9.76
5.87,10.36,15.07,18.08,20.16,4.49,4.71,5.09,2.08,9.2,9.8
5.84,10.44,15.18,18.14,20.16,4.6,4.74,4.98,2.02,9.34,9.72
5.9,10.53,15.22,18.15,20.16,4.63,4.69,4.94,2.01,9.32,9.63
,10.52,,,20.16,,,,,,9.64
5.8,10.5,15.2,18.14,20.16,4.7,4.7,4.96,2.02,9.4,9.66
5.79,10.36,15.11,18.1,20.16,4.57,4.75,5.05,2.06,9.32,9.8
5.98,10.56,15.24,18.16,20.16,4.58,4.68,4.92,2,9.26,9.6
5.8,10.32,15.05,18.07,20.16,4.52,4.73,5.11,2.09,9.25,9.84
5.82,10.36,15.13,18.12,20.16,4.54,4.77,5.03,2.04,9.31,9.8
,10.31,15.07,18.08,20.16,,4.76,5.09,2.08,,9.85
,10.43,,,20.17,,,,,,9.74
5.91,10.42,15.18,18.15,20.17,4.51,4.76,4.99,2.02,9.27,9.75
